Reactant_1_Name;Reactant_2_Name;Ligand_Short_Hand;Reagent_1_Short_Hand;Solvent_1_Short_Hand;Product_Yield_PCT_Area_UV;Product_Yield_Mass_Ion_Count
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;K3PO4;MeCN;5.83;36076.51
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;K3PO4;MeCN;1.88;2827.82
6-chloroquinoline;2a. Boronic Acid;CataCXium A;K3PO4;MeCN;3.69;10833.31
6-chloroquinoline;2a. Boronic Acid;SPhos;K3PO4;MeCN;53.34;63071.2
6-chloroquinoline;2a. Boronic Acid;dtbpf;K3PO4;MeCN;5.8;5469.16
6-chloroquinoline;2a. Boronic Acid;XPhos;K3PO4;MeCN;60.67;63192.9
6-chloroquinoline;2a. Boronic Acid;dppf;K3PO4;MeCN;14.39;3661.02
6-chloroquinoline;2a. Boronic Acid;Xantphos;K3PO4;MeCN;2.27;700.15
6-chloroquinoline;2a. Boronic Acid;None;K3PO4;MeCN;10;39301.82
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;KOH;MeCN;5.6;9067.92
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;KOH;MeCN;4.82;11886.08
6-chloroquinoline;2a. Boronic Acid;AmPhos;KOH;MeCN;2.49;4111.19
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;KOH;MeCN;6.46;38789.5
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;KOH;MeCN;2.06;3781.08
6-chloroquinoline;2a. Boronic Acid;CataCXium A;KOH;MeCN;3.22;8983.8
6-chloroquinoline;2a. Boronic Acid;SPhos;KOH;MeCN;78.42;90780.38
6-chloroquinoline;2a. Boronic Acid;dtbpf;KOH;MeCN;8.94;8182.37
6-chloroquinoline;2a. Boronic Acid;XPhos;KOH;MeCN;92.22;111091.48
6-chloroquinoline;2a. Boronic Acid;dppf;KOH;MeCN;14.22;7878.91
6-chloroquinoline;2a. Boronic Acid;Xantphos;KOH;MeCN;2.35;1067.08
6-chloroquinoline;2a. Boronic Acid;None;KOH;MeCN;18.16;67813.47
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;LiOtBu;MeCN;7.08;11614.38
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;LiOtBu;MeCN;5.45;12111.78
6-chloroquinoline;2a. Boronic Acid;AmPhos;LiOtBu;MeCN;1.99;3362.72
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;LiOtBu;MeCN;6.08;32427.2
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;LiOtBu;MeCN;2.45;4340.44
6-chloroquinoline;2a. Boronic Acid;CataCXium A;LiOtBu;MeCN;3.57;9150.86
6-chloroquinoline;2a. Boronic Acid;SPhos;LiOtBu;MeCN;85.77;95117.75
6-chloroquinoline;2a. Boronic Acid;dtbpf;LiOtBu;MeCN;9.78;9542.27
6-chloroquinoline;2a. Boronic Acid;XPhos;LiOtBu;MeCN;92.83;102595.86
6-chloroquinoline;2a. Boronic Acid;dppf;LiOtBu;MeCN;15.41;6378.37
6-chloroquinoline;2a. Boronic Acid;Xantphos;LiOtBu;MeCN;2.43;1126
6-chloroquinoline;2a. Boronic Acid;None;LiOtBu;MeCN;17.18;68542.48
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;Et3N;MeCN;7.82;13319.81
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;Et3N;MeCN;6.14;11270.71
6-chloroquinoline;2a. Boronic Acid;AmPhos;Et3N;MeCN;2.13;3474.55
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;Et3N;MeCN;5.05;26015.73
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;Et3N;MeCN;1.98;3662.19
6-chloroquinoline;2a. Boronic Acid;CataCXium A;Et3N;MeCN;4.47;11625.47
6-chloroquinoline;2a. Boronic Acid;SPhos;Et3N;MeCN;78.96;96066.25
6-chloroquinoline;2a. Boronic Acid;dtbpf;Et3N;MeCN;7;7068.83
6-chloroquinoline;2a. Boronic Acid;XPhos;Et3N;MeCN;90.3;95108.57
6-chloroquinoline;2a. Boronic Acid;dppf;Et3N;MeCN;15.36;7148.57
6-chloroquinoline;2a. Boronic Acid;Xantphos;Et3N;MeCN;2.51;989.11
6-chloroquinoline;2a. Boronic Acid;None;Et3N;MeCN;19.51;70616.92
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;None;MeCN;9.76;16376.61
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;None;MeCN;4.15;13262.26
6-chloroquinoline;2a. Boronic Acid;AmPhos;None;MeCN;1.53;3331.08
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;None;MeCN;5.8;30328.13
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;None;MeCN;2.65;4243.24
6-chloroquinoline;2a. Boronic Acid;CataCXium A;None;MeCN;4.43;12910.26
6-chloroquinoline;2a. Boronic Acid;SPhos;None;MeCN;66.8;75956.2
6-chloroquinoline;2a. Boronic Acid;dtbpf;None;MeCN;6.42;6849.33
6-chloroquinoline;2a. Boronic Acid;XPhos;None;MeCN;78.23;83904.55
6-chloroquinoline;2a. Boronic Acid;dppf;None;MeCN;13.95;6493.08
6-chloroquinoline;2a. Boronic Acid;Xantphos;None;MeCN;2.11;809.64
6-chloroquinoline;2a. Boronic Acid;None;None;MeCN;8.29;28481.36
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;NaOH;THF;33.79;46748.74
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;NaOH;THF;8.08;9823.26
6-chloroquinoline;2a. Boronic Acid;AmPhos;NaOH;THF;61.2;65207.4
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;NaOH;THF;69.94;237558.38
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;NaOH;THF;7.2;13195
6-chloroquinoline;2a. Boronic Acid;CataCXium A;NaOH;THF;79.47;256433.68
6-chloroquinoline;2a. Boronic Acid;SPhos;NaOH;THF;87.06;94998.11
6-chloroquinoline;2a. Boronic Acid;dtbpf;NaOH;THF;12.7;27853.76
6-chloroquinoline;2a. Boronic Acid;XPhos;NaOH;THF;88.97;85607.99
6-chloroquinoline;2a. Boronic Acid;dppf;NaOH;THF;27.93;16943.26
6-chloroquinoline;2a. Boronic Acid;Xantphos;NaOH;THF;6.11;10507.55
6-chloroquinoline;2a. Boronic Acid;None;NaOH;THF;20;51980.56
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;NaHCO3;THF;66.74;66473.58
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;NaHCO3;THF;8.11;12207.89
6-chloroquinoline;2a. Boronic Acid;AmPhos;NaHCO3;THF;57.48;71710.58
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;NaHCO3;THF;61.89;263714.76
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;NaHCO3;THF;2.23;5509.06
6-chloroquinoline;2a. Boronic Acid;CataCXium A;NaHCO3;THF;70.45;229816.31
6-chloroquinoline;2a. Boronic Acid;SPhos;NaHCO3;THF;79.85;87916.29
6-chloroquinoline;2a. Boronic Acid;dtbpf;NaHCO3;THF;9.6;32750.31
6-chloroquinoline;2a. Boronic Acid;XPhos;NaHCO3;THF;80.77;90618.75
6-chloroquinoline;2a. Boronic Acid;dppf;NaHCO3;THF;19.24;16490.13
6-chloroquinoline;2a. Boronic Acid;Xantphos;NaHCO3;THF;5.2;13373.46
6-chloroquinoline;2a. Boronic Acid;None;NaHCO3;THF;8.33;24316.82
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;CsF;THF;39.17;55746.74
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;CsF;THF;7.24;14962.33
6-chloroquinoline;2a. Boronic Acid;AmPhos;CsF;THF;44.98;46546.91
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;CsF;THF;50.95;221587.37
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;CsF;THF;2.23;5386.74
6-chloroquinoline;2a. Boronic Acid;CataCXium A;CsF;THF;61.29;217114.79
6-chloroquinoline;2a. Boronic Acid;SPhos;CsF;THF;60.83;72183.68
6-chloroquinoline;2a. Boronic Acid;dtbpf;CsF;THF;9.94;30859.05
6-chloroquinoline;2a. Boronic Acid;XPhos;CsF;THF;53.52;65529
6-chloroquinoline;2a. Boronic Acid;dppf;CsF;THF;18.18;11452.8
6-chloroquinoline;2a. Boronic Acid;Xantphos;CsF;THF;3.68;560.83
6-chloroquinoline;2a. Boronic Acid;None;CsF;THF;8.42;25981.95
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;K3PO4;THF;41.23;49419.39
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;K3PO4;THF;6.66;10124.35
6-chloroquinoline;2a. Boronic Acid;AmPhos;K3PO4;THF;33.02;42027.54
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;K3PO4;THF;50.06;183695.99
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;K3PO4;THF;2.68;7336.68
6-chloroquinoline;2a. Boronic Acid;CataCXium A;K3PO4;THF;55.85;204776.24
6-chloroquinoline;2a. Boronic Acid;SPhos;K3PO4;THF;47.94;57820.99
6-chloroquinoline;2a. Boronic Acid;dtbpf;K3PO4;THF;9.37;24803.31
6-chloroquinoline;2a. Boronic Acid;XPhos;K3PO4;THF;52.33;62079.68
6-chloroquinoline;2a. Boronic Acid;dppf;K3PO4;THF;20.18;11350.12
6-chloroquinoline;2a. Boronic Acid;Xantphos;K3PO4;THF;4.25;2472.09
6-chloroquinoline;2a. Boronic Acid;None;K3PO4;THF;7.98;22295.72
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;KOH;THF;48.56;54417.42
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;KOH;THF;7.77;10113.48
6-chloroquinoline;2a. Boronic Acid;AmPhos;KOH;THF;42.73;48015.66
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;KOH;THF;55.08;203826.36
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;KOH;THF;3.03;6519.41
6-chloroquinoline;2a. Boronic Acid;CataCXium A;KOH;THF;62.33;190660.18
6-chloroquinoline;2a. Boronic Acid;SPhos;KOH;THF;73.31;75482.94
6-chloroquinoline;2a. Boronic Acid;dtbpf;KOH;THF;12.3;21790.38
6-chloroquinoline;2a. Boronic Acid;XPhos;KOH;THF;72;66944.06
6-chloroquinoline;2a. Boronic Acid;dppf;KOH;THF;26.14;20002.93
6-chloroquinoline;2a. Boronic Acid;Xantphos;KOH;THF;4.54;655.51
6-chloroquinoline;2a. Boronic Acid;None;KOH;THF;17.83;49843.33
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;LiOtBu;THF;66.16;70107.76
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;LiOtBu;THF;9.92;10341.3
6-chloroquinoline;2a. Boronic Acid;AmPhos;LiOtBu;THF;58.51;56193.51
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;LiOtBu;THF;78.15;209458.82
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;LiOtBu;THF;5.12;7813.62
6-chloroquinoline;2a. Boronic Acid;CataCXium A;LiOtBu;THF;62.02;151551.59
6-chloroquinoline;2a. Boronic Acid;SPhos;LiOtBu;THF;85.95;81248.64
6-chloroquinoline;2a. Boronic Acid;dtbpf;LiOtBu;THF;13.91;24225.32
6-chloroquinoline;2a. Boronic Acid;XPhos;LiOtBu;THF;85.21;76725.2
6-chloroquinoline;2a. Boronic Acid;dppf;LiOtBu;THF;26.83;8388.39
6-chloroquinoline;2a. Boronic Acid;Xantphos;LiOtBu;THF;0;0
6-chloroquinoline;2a. Boronic Acid;None;LiOtBu;THF;35.37;83297.45
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;Et3N;THF;68.72;72856.09
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;Et3N;THF;10.16;13324.94
6-chloroquinoline;2a. Boronic Acid;AmPhos;Et3N;THF;48.8;48965.85
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;Et3N;THF;82.65;240353.84
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;Et3N;THF;5.97;10295.61
6-chloroquinoline;2a. Boronic Acid;CataCXium A;Et3N;THF;80.74;244764.62
6-chloroquinoline;2a. Boronic Acid;SPhos;Et3N;THF;87.82;90083.17
6-chloroquinoline;2a. Boronic Acid;dtbpf;Et3N;THF;13.56;29227.75
6-chloroquinoline;2a. Boronic Acid;XPhos;Et3N;THF;88.93;84613.03
6-chloroquinoline;2a. Boronic Acid;dppf;Et3N;THF;21.65;9602.58
6-chloroquinoline;2a. Boronic Acid;Xantphos;Et3N;THF;3.64;596
6-chloroquinoline;2a. Boronic Acid;None;Et3N;THF;14.67;43513.75
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;None;THF;67.57;71020.34
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;None;THF;9.44;13470.54
6-chloroquinoline;2a. Boronic Acid;AmPhos;None;THF;64.56;71647.53
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;None;THF;73.97;250627.03
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;None;THF;4.81;9423.82
6-chloroquinoline;2a. Boronic Acid;CataCXium A;None;THF;83.62;253988.6
6-chloroquinoline;2a. Boronic Acid;SPhos;None;THF;89.17;94300.41
6-chloroquinoline;2a. Boronic Acid;dtbpf;None;THF;10.97;27643.82
6-chloroquinoline;2a. Boronic Acid;XPhos;None;THF;91.35;91692.7
6-chloroquinoline;2a. Boronic Acid;dppf;None;THF;21.87;19546.31
6-chloroquinoline;2a. Boronic Acid;Xantphos;None;THF;4.57;2953.41
6-chloroquinoline;2a. Boronic Acid;None;None;THF;11.53;39514.18
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;NaOH;DMF;17.33;24718.36
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;NaOH;DMF;6.27;7528.3
6-chloroquinoline;2a. Boronic Acid;AmPhos;NaOH;DMF;5.34;8328.13
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;NaOH;DMF;12.74;54270.16
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;NaOH;DMF;5.37;8183.34
6-chloroquinoline;2a. Boronic Acid;CataCXium A;NaOH;DMF;8.6;26348.41
6-chloroquinoline;2a. Boronic Acid;SPhos;NaOH;DMF;77.85;87857.73
6-chloroquinoline;2a. Boronic Acid;dtbpf;NaOH;DMF;10.03;19606.22
6-chloroquinoline;2a. Boronic Acid;XPhos;NaOH;DMF;88.28;97337.82
6-chloroquinoline;2a. Boronic Acid;dppf;NaOH;DMF;13.87;6359.04
6-chloroquinoline;2a. Boronic Acid;Xantphos;NaOH;DMF;4.8;655.62
6-chloroquinoline;2a. Boronic Acid;None;NaOH;DMF;8.31;31065.07
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;NaHCO3;DMF;3.5;6295.17
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;NaHCO3;DMF;6.84;8214.46
6-chloroquinoline;2a. Boronic Acid;AmPhos;NaHCO3;DMF;2.54;4152.3
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;NaHCO3;DMF;10.59;45881.4
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;NaHCO3;DMF;1.19;2340.68
6-chloroquinoline;2a. Boronic Acid;CataCXium A;NaHCO3;DMF;7.85;29570.86
6-chloroquinoline;2a. Boronic Acid;SPhos;NaHCO3;DMF;42.13;50255.85
6-chloroquinoline;2a. Boronic Acid;dtbpf;NaHCO3;DMF;6.81;5739.18
6-chloroquinoline;2a. Boronic Acid;XPhos;NaHCO3;DMF;37.01;44467.92
6-chloroquinoline;2a. Boronic Acid;dppf;NaHCO3;DMF;16.24;12564.87
6-chloroquinoline;2a. Boronic Acid;Xantphos;NaHCO3;DMF;0;0
6-chloroquinoline;2a. Boronic Acid;None;NaHCO3;DMF;5.3;5458.02
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;CsF;DMF;1.22;2309.15
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;CsF;DMF;6.24;7540.01
6-chloroquinoline;2a. Boronic Acid;AmPhos;CsF;DMF;4.25;7006.69
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;CsF;DMF;42.54;139599.5
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;CsF;DMF;1.05;1868.34
6-chloroquinoline;2a. Boronic Acid;CataCXium A;CsF;DMF;12.89;41438.09
6-chloroquinoline;2a. Boronic Acid;SPhos;CsF;DMF;63.88;64457.05
6-chloroquinoline;2a. Boronic Acid;dtbpf;CsF;DMF;8.67;13095.47
6-chloroquinoline;2a. Boronic Acid;XPhos;CsF;DMF;60.88;67185.26
6-chloroquinoline;2a. Boronic Acid;dppf;CsF;DMF;8.67;13095.47
6-chloroquinoline;2a. Boronic Acid;Xantphos;CsF;DMF;5.15;331.92
6-chloroquinoline;2a. Boronic Acid;None;CsF;DMF;18.73;11222.71
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;K3PO4;DMF;3.69;6501.01
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;K3PO4;DMF;5.3;5242.61
6-chloroquinoline;2a. Boronic Acid;AmPhos;K3PO4;DMF;5.08;8859.68
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;K3PO4;DMF;6.97;6565.96
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;K3PO4;DMF;0.99;1416.17
6-chloroquinoline;2a. Boronic Acid;CataCXium A;K3PO4;DMF;11.91;51295.45
6-chloroquinoline;2a. Boronic Acid;SPhos;K3PO4;DMF;39.83;46718.44
6-chloroquinoline;2a. Boronic Acid;dtbpf;K3PO4;DMF;7.58;21645.89
6-chloroquinoline;2a. Boronic Acid;XPhos;K3PO4;DMF;39.49;46691.67
6-chloroquinoline;2a. Boronic Acid;dppf;K3PO4;DMF;9.03;12991.63
6-chloroquinoline;2a. Boronic Acid;Xantphos;K3PO4;DMF;0;0
6-chloroquinoline;2a. Boronic Acid;None;K3PO4;DMF;14.08;2959.43
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;KOH;DMF;13.55;19818.35
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;KOH;DMF;4.36;3723.81
6-chloroquinoline;2a. Boronic Acid;AmPhos;KOH;DMF;3.3;5789.42
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;KOH;DMF;7.47;7020.31
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;KOH;DMF;3.54;6230.07
6-chloroquinoline;2a. Boronic Acid;CataCXium A;KOH;DMF;10.67;44994.31
6-chloroquinoline;2a. Boronic Acid;SPhos;KOH;DMF;62.77;68293.3
6-chloroquinoline;2a. Boronic Acid;dtbpf;KOH;DMF;8.83;23602.66
6-chloroquinoline;2a. Boronic Acid;XPhos;KOH;DMF;79.14;78869.83
6-chloroquinoline;2a. Boronic Acid;dppf;KOH;DMF;10.07;19256.08
6-chloroquinoline;2a. Boronic Acid;Xantphos;KOH;DMF;4.46;571.84
6-chloroquinoline;2a. Boronic Acid;None;KOH;DMF;15.88;5760.54
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;LiOtBu;DMF;23.07;30709.08
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;LiOtBu;DMF;7.07;20762.6
6-chloroquinoline;2a. Boronic Acid;AmPhos;LiOtBu;DMF;4.12;6526.23
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;LiOtBu;DMF;6.71;8015.99
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;LiOtBu;DMF;2.67;4236.39
6-chloroquinoline;2a. Boronic Acid;CataCXium A;LiOtBu;DMF;6.27;19317.04
6-chloroquinoline;2a. Boronic Acid;SPhos;LiOtBu;DMF;71.54;81731.55
6-chloroquinoline;2a. Boronic Acid;dtbpf;LiOtBu;DMF;10.01;24128.48
6-chloroquinoline;2a. Boronic Acid;XPhos;LiOtBu;DMF;61.47;60868.66
6-chloroquinoline;2a. Boronic Acid;dppf;LiOtBu;DMF;9.54;16883.8
6-chloroquinoline;2a. Boronic Acid;Xantphos;LiOtBu;DMF;0;0
6-chloroquinoline;2a. Boronic Acid;None;LiOtBu;DMF;15.89;3317.87
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;Et3N;DMF;17.9;23048.48
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;Et3N;DMF;4.61;9397.23
6-chloroquinoline;2a. Boronic Acid;AmPhos;Et3N;DMF;4.6;7168.32
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;Et3N;DMF;7.56;5533.4
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;Et3N;DMF;2.56;3714.79
6-chloroquinoline;2a. Boronic Acid;CataCXium A;Et3N;DMF;6.26;23127.27
6-chloroquinoline;2a. Boronic Acid;SPhos;Et3N;DMF;72.84;80673.39
6-chloroquinoline;2a. Boronic Acid;dtbpf;Et3N;DMF;10.17;26623.9
6-chloroquinoline;2a. Boronic Acid;XPhos;Et3N;DMF;67.48;70499.49
6-chloroquinoline;2a. Boronic Acid;dppf;Et3N;DMF;9.64;15943.64
6-chloroquinoline;2a. Boronic Acid;Xantphos;Et3N;DMF;0;0
6-chloroquinoline;2a. Boronic Acid;None;Et3N;DMF;15.05;3012.02
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;None;DMF;19.08;23964.81
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;None;DMF;4.88;12553.8
6-chloroquinoline;2a. Boronic Acid;AmPhos;None;DMF;5.43;9045.3
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;None;DMF;7.06;6774.79
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;None;DMF;1.22;2204.5
6-chloroquinoline;2a. Boronic Acid;CataCXium A;None;DMF;8.89;36044.49
6-chloroquinoline;2a. Boronic Acid;SPhos;None;DMF;49.12;53073.76
6-chloroquinoline;2a. Boronic Acid;dtbpf;None;DMF;11.15;30547.13
6-chloroquinoline;2a. Boronic Acid;XPhos;None;DMF;43.52;48387.18
6-chloroquinoline;2a. Boronic Acid;dppf;None;DMF;8.86;11900.98
6-chloroquinoline;2a. Boronic Acid;Xantphos;None;DMF;0;0
6-chloroquinoline;2a. Boronic Acid;None;None;DMF;15.12;5314.2
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;NaOH;MeOH;33.37;8449.87
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;NaOH;MeOH;15.35;1943
6-chloroquinoline;2a. Boronic Acid;AmPhos;NaOH;MeOH;30.96;8289
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;NaOH;MeOH;32.72;7755.36
6-chloroquinoline;2a. Boronic Acid;P(o-Tol)3;NaOH;MeOH;34.24;5380.28
6-chloroquinoline;2a. Boronic Acid;CataCXium A;NaOH;MeOH;14.91;5190.78
6-chloroquinoline;2a. Boronic Acid;SPhos;NaOH;MeOH;43.3;32620.61
6-chloroquinoline;2a. Boronic Acid;dtbpf;NaOH;MeOH;17.57;2948.89
6-chloroquinoline;2a. Boronic Acid;XPhos;NaOH;MeOH;37.65;44253.81
6-chloroquinoline;2a. Boronic Acid;dppf;NaOH;MeOH;14.59;883.08
6-chloroquinoline;2a. Boronic Acid;Xantphos;NaOH;MeOH;13.1;829.01
6-chloroquinoline;2a. Boronic Acid;None;NaOH;MeOH;15.33;8820.16
6-chloroquinoline;2a. Boronic Acid;P(tBu)3;NaHCO3;MeOH;27.3;5678.32
6-chloroquinoline;2a. Boronic Acid;P(Ph)3 ;NaHCO3;MeOH;37.47;8083.24
6-chloroquinoline;2a. Boronic Acid;AmPhos;NaHCO3;MeOH;13.08;1516.94
6-chloroquinoline;2a. Boronic Acid;P(Cy)3;NaHCO3;MeOH;27.89;6237.55
